,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
0,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002570001","Oct 30, 2019",CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
1,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huaraz,"01306015200-2019-
0002010000","Oct 29, 2019",EN INVESTIGACION PREVENTIVA,RESPONSABILIDAD DE SERVIDOR PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS
2,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640001","Oct 16, 2019",CON ARCHIVO (CALIFICA),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
3,"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,01ºfiscalia Especializada En Prevencion Del Delito-Lima Norte(Ncpp),"00606010901-2019-
0012610000","Oct 9, 2019",NO HA LUGAR,ABUSO DE AUTORIDAD
4,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640000","Sep 25, 2019",DENUNCIA PENDIENTE,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
5,"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,50°Fiscalia Provincial En Lo Penal De Lima,"00506010150-2019-
0005530000","Jun 26, 2019",DENUNCIA PENDIENTE,ESTAFA
6,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,06º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2019-
0006300000","Jun 25, 2019",EN CALIFICACION (CALIFICA),OMISION ILEGAL DE ACTO DE SU CARGO
7,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690002","Jun 14, 2019",CONSULTA RESUELTA,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
8,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01º Fiscalia Provincial Penal De Surquillo,"00506150101-2019-
0005970000","May 30, 2019",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
9,"BAZÁN VILLANUEVA, LENIN FERNANDO",Frente Amplio,La Libertad,Fiscalia Superior Mixta De Sanchez Carrion,"02305090600-2019-
0000160000","May 27, 2019",DENUNCIA PENDIENTE,GRAVE PERTURBACION DE LA TRANQUILIDAD PUBLICA (USANDO CUALQUIER MEDIO RAZONABLE CAPAZ DE PRODUCIR AL
10,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01° Fiscalia Provincial Prevencion Del Delito,"00507010951-2019-
0008480000","May 23, 2019",DERIVADO,DELITO CONTRA LA SEGURIDAD PUBLICA
11,"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,57ºfiscalia Provincial En Lo Penal De Lima,"00506010157-2019-
0004220000","May 23, 2019",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
12,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900001","May 10, 2019",CON ARCHIVO (CALIFICA),CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
13,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900000","May 10, 2019",FORMALIZA INVESTIGACION PREPARATORIA,CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
14,"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001210000","Mar 29, 2019",DENUNCIA PENDIENTE,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
15,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000690000","Mar 29, 2019",DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
16,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000700000","Mar 29, 2019",DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
17,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2019-
0006830000","Mar 25, 2019",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
18,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350001","Mar 22, 2019",CON SOBRESEIMIENTO,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
19,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870002","Mar 21, 2019",CONSULTA RESUELTA,ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
20,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0003750002","Mar 21, 2019",FORMALIZA INVESTIGACION PREPARATORIA,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
21,"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001020000","Mar 14, 2019",CON INVESTIGACION PRELIMINAR,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
22,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2019-
0000930000","Mar 12, 2019",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
23,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0000950000","Mar 12, 2019",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
24,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690001","Mar 5, 2019",RECEPCION DE SOLICITUD DE CONSULTA,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
25,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870001","Feb 26, 2019",SOLICITUD DE EXCLUSION FISCAL PENDIENTE,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
26,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000440000","Feb 26, 2019",EN CALIFICACION (CALIFICA),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
27,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000430000","Feb 25, 2019",DENUNCIA PENDIENTE,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
28,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,03º Fiscalia Superior Penal Del Callao (Ncpp),"00906010113-2015-
0000880001","Feb 4, 2019",CALIFICA APELACION (EXPEDIENTE),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
29,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,1º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Ancash,"01306015500-2018-
0003750001","Jan 31, 2019",IMPUGNACION RESUELTA - FISCAL SUPERIOR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
30,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2019-
0000410000","Jan 15, 2019",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
31,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040008","Jan 10, 2019",SOLICITUD APELACION PENDIENTE (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
32,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2019-
0004630000","Jan 9, 2019",DENUNCIA PENDIENTE,RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD
33,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,19º Fiscalia Provincial En Lo Penal De Lima,"00506010119-2019-
0000080000","Jan 3, 2019",DENUNCIA PENDIENTE,FALSEDAD IDEOLOGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PUBLICO DECLARACIONES FALSAS
34,"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606054502-2013-
0003500004","Jan 3, 2019",AUDIENCIA DE APELACION,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
35,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,04º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2018-
0013660000","Dec 28, 2018",DENUNCIA PENDIENTE,OMISION ILEGAL DE ACTO DE SU CARGO
36,"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Anticorrupcion - Chachapoyas(Ncpp),"01206015500-2018-
0001310000","Dec 27, 2018",DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
37,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Nacional Especializada En Delitos De Lavado De Activos Y Perdida De Dominio,"00505015701-2018-
0000430000","Dec 17, 2018",IMPUGNACION RESUELTA - FISCAL SUPERIOR,LAVADO DE ACTIVOS
38,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014901-2018-
0004580000","Dec 7, 2018",CON ARCHIVO DEFINITIVO (INV. PREVEN.),ABUSO DE AUTORIDAD
39,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040007","Dec 6, 2018",APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
40,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,03º Fiscalia Provincial Mixta De San Juan De Lurigancho,"00506010617-2018-
0028620000","Dec 5, 2018",DENUNCIA PENDIENTE,DELITOS CONTRA LA FE PUBLICA
41,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Corporativa De Prevencion Del Delito De Lambayeque,"02406074504-2018-
0004640000","Dec 5, 2018",DENUNCIA PENDIENTE,USURPACION (AGENTE CON VIOLENCIA O AMENAZA TURBA POSESION DE INMUEBLE)
42,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Superior Penal Transitoria De Tumbes,"03506015500-2015-
0000110001","Dec 5, 2018",AUDIENCIA DE APELACION,CONCUSION (COLUSION ILEGAL)
43,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,02º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014502-2018-
0023190000","Dec 4, 2018",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
44,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,02º Fiscalia Provincial Penal Corporativa De Cutervo,"02406024502-2018-
0005690000","Nov 27, 2018",CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
45,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,02º Fiscalia Superior En Lo Penal De Lima,"00505010102-2018-
0010480001","Nov 27, 2018",EXPED. PENDIENTE,FALSIFICACION DOCUMENTARIA HACE EN TODO O PARTE UN DOCUMENTO FALSO O ADULTERA UNO VERDADERO
46,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014507-2018-
0021300000","Nov 27, 2018",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
47,"MESÍA RAMIREZ, CARLOS FERNANDO",Fuerza Popular,Lima,01º Fiscalia Provincial Penal De Chorrillos,"00706040101-2018-
0026430000","Nov 24, 2018",DENUNCIA PENDIENTE,FRAUDE PROCESAL
48,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040006","Nov 23, 2018",APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
49,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Espec. En Delitos De Corrupcion De Funcionarios-Cajamarca,"01706045500-2018-
0002850000","Nov 22, 2018",DERIVADO (CALIFICA),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
50,"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,Fiscalia Provincial Penal Especializada En Materia Ambiental,"00506010170-2018-
0004520000","Nov 9, 2018",CON RESOLUCION EMITIDA,CONTAMINACION (INCUMPLIMIENTO DE NORMAS RELATIVAS AL MANEJO DE RESIDUOS SOLIDOS CONTRAVINIENDO LE
51,"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,43º Fiscalia Provincial En Lo Penal De Lima,"00506010143-2018-
0010870000","Nov 8, 2018",DENUNCIA PENDIENTE,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PUBLICO DECLARACIONES FALSAS
52,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0074550000","Nov 6, 2018",CON INVESTIGACION PRELIMINAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
53,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0007820000","Nov 5, 2018",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
54,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010016","Oct 29, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
55,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,06º Fiscalía Provincial Penal Corporativa De Huancayo(Ncpp),"02206014506-2018-
0021930000","Oct 25, 2018",CON INVESTIGACION PRELIMINAR,LAVADO DE ACTIVOS
56,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0016450000","Oct 24, 2018",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
57,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0016780000","Oct 24, 2018",CON ARCHIVO (CALIFICA),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
58,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2018-
0023960000","Oct 23, 2018",DENUNCIA PENDIENTE,VIOLACION DE LA LIBERTAD DE TRABAJO
59,"AGUILAR ZAMORA, MANUEL",Acción Popular,San Martín,01° Fiscalia Provincial Penal Corporativa De Moyobamba,"02806014501-2018-
0006970000","Oct 22, 2018",DENUNCIA PENDIENTE,DELITOS CONTRA LA VOLUNTAD POPULAR
60,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606054502-2012-
0007140001","Oct 19, 2018",AUDIENCIA DE APELACION,CONCUSION (COLUSION ILEGAL)
61,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Penal Corporativa De Ascope,"02306024500-2018-
0012950000","Oct 18, 2018",DENUNCIA PENDIENTE,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
62,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0015960000","Oct 17, 2018",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
63,"ALMERI VERAMENDI, CARLOS ALBERTO",Podemos,Lima Provincias,03ºfiscalia Provincial Penal Corporativa De Condevilla,"00606034503-2018-
0002460000","Oct 15, 2018",EN CALIFICACION (CALIFICA),LESIONES
64,"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0063070000","Oct 12, 2018",CON INVESTIGACION PRELIMINAR,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E
65,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0071790000","Oct 10, 2018",CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
66,"MACHACA MAMANI, RAÚL",Frepap,Tacna,Fiscalia Provincial Especializada En Materia Ambiental De Puno (Ncpp),"02706015200-2018-
0001630000","Oct 4, 2018",CON INVESTIGACION PRELIMINAR,CONTAMINACION DEL AMBIENTE DOLOSO
67,"MACHACA MAMANI, RAÚL",Frepap,Tacna,Fiscalia Provincial Especializada En Materia Ambiental De Puno (Ncpp),"02706015200-2018-
0001620000","Oct 3, 2018",EN CALIFICACION (CALIFICA),MINERIA ILEGAL ( CULPOSO)
68,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0074560000","Oct 3, 2018",EN CALIFICACION (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
69,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306015500-2016-
0003120002","Oct 2, 2018",AUDIENCIA DE APELACION,CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
70,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,Tacna,01ºfiscalia Provincial Penal Corporativa De Carabayllo(Ncpp),"00606054501-2018-
0005140000","Sep 23, 2018",DENUNCIA PENDIENTE,OMISION DE ASISTENCIA FAMILIAR
71,"GARCÍA OVIEDO, PAUL GABRIEL",Acción Popular,Callao,10º Fiscalia Provincial Penal Corporativa Del Callao (Ncpp),"00906014510-2018-
0016420000","Sep 11, 2018",CON ARCHIVO (PRELIMINAR),FALSIFICACION DE DOCUMENTOS EN GENERAL
72,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2017-
0006910001","Sep 4, 2018",CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
73,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0002070000","Sep 4, 2018",ASIGNADO PNP (PRELIMINAR),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
74,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0017380000","Sep 3, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
75,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0017370000","Sep 3, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
76,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001940000","Sep 3, 2018",ASIGNADO PNP (PRELIMINAR),CONCUSION (PATROCINIO ILEGAL)
77,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0014490000","Sep 3, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
78,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0014500000","Sep 3, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
79,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306015500-2016-
0003120001","Aug 28, 2018",AUDIENCIA DE APELACION,CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
80,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,04º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2018-
0008390000","Aug 27, 2018",CON INVESTIGACION PRELIMINAR,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
81,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,18º Fiscalia Provincial En Lo Penal De Lima,"00506010118-2018-
0006660000","Aug 27, 2018",INVESTIGACION POLICIAL,CONTRA LA FE PUBLICA (COMETE FALSEDAD SIMULANDO SUPONIENDO ALTERANDO LA VERDAD INTENCIONALMENTE Y CON PERJUIC
82,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506015100-2014-
0002420003","Aug 24, 2018",AUDIENCIA DE APELACION,TRAFICO ILICITO DE DROGAS (LAVADO DE ACTIVOS - LEY 27765)
83,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,02º Fiscalía Superior Penal De Junin(Ncpp),"02206015600-2018-
0000250003","Aug 22, 2018",RECEPCION DE SOLICITUD DE CONSULTA,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
84,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2018-
0053210000","Aug 21, 2018",DENUNCIA PENDIENTE,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
85,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0015500000","Aug 21, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
86,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2018-
0049580000","Aug 21, 2018",EN CALIFICACION (CALIFICA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
87,"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04° Fiscalía Superior Penal De Ayacucho(Ncpp),"01606014502-2016-
0001240003","Aug 21, 2018",CALIFICA APELACION,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E
88,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0013570000","Aug 20, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
89,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2018-
0052210000","Aug 16, 2018",CON ARCHIVO (CALIFICA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
90,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2018-
0047290000","Aug 16, 2018",CON ARCHIVO (CALIFICA),ABUSO DE AUTORIDAD
